id;sub_id;subcategory;url
17006;128904;Двери, окна и фурнитура;https://www.wildberries.ru/catalog/dlya-remonta/dveri-okna-i-furnitura
17006;16723;Инструменты и оснастка;https://www.wildberries.ru/catalog/dom-i-dacha/instrumenty/instrumenty
17006;16798;Отделочные материалы;https://www.wildberries.ru/catalog/dom-i-dacha/tovary-dlya-remonta/otdelochnye-materialy
17006;17024;Электрика;https://www.wildberries.ru/catalog/bytovaya-tehnika/stroitelstvo-i-remont/elektrika
17006;128907;Лакокрасочные материалы;https://www.wildberries.ru/catalog/dlya-remonta/lakokrasochnye-materialy
17006;128917;Сантехника, отопление и газоснабжение;https://www.wildberries.ru/catalog/dlya-remonta/santehnika-otoplenie-i-gazosnabzhenie
17006;128918;Вентиляция;https://www.wildberries.ru/catalog/dlya-remonta/ventilyatsiya
17006;128919;Крепеж;https://www.wildberries.ru/catalog/dlya-remonta/krepezh
17006;128920;Стройматериалы;https://www.wildberries.ru/catalog/dlya-remonta/stroymaterialy
17006;129017;Сборные конструкции;https://www.wildberries.ru/catalog/dlya-remonta/sbornye-konstruktsii
