id;sub_id;subcategory;url
519;9163;Художественная литература;https://www.wildberries.ru/catalog/knigi/hudozhestvennaya-literatura
519;9167;Комиксы и манга;https://www.wildberries.ru/catalog/knigi/hudozhestvennaya-literatura/komiksy-i-manga
519;9110;Книги для детей;https://www.wildberries.ru/catalog/knigi/detyam-i-roditelyam
519;129287;Воспитание и развитие ребенка;https://www.wildberries.ru/catalog/knigi/vospitanie-i-razvitie-rebenka
519;9157;Образование;https://www.wildberries.ru/catalog/knigi/uchebnaya-literatura
519;129275;Самообразование и развитие;https://www.wildberries.ru/catalog/knigi/samoobrazovanie-i-razvitie
519;9127;Бизнес и менеджмент;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/biznes-i-menedzhment
519;129273;Хобби и досуг;https://www.wildberries.ru/catalog/knigi/hobbi-i-dosug
519;9126;Астрология и эзотерика;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/astrologiya-i-ezoterika
519;129269;Дом, сад и огород;https://www.wildberries.ru/catalog/knigi/dom-sad-i-ogorod
519;129268;Красота, здоровье и спорт;https://www.wildberries.ru/catalog/knigi/krasota-zdorove-i-sport
519;9142;Научно-популярная литература;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/nauka-i-tehnika
519;9135;Интернет и технологии;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/internet-i-tehnologii
519;129286;Литературоведение и публицистика;https://www.wildberries.ru/catalog/knigi/literaturovedenie-i-publitsistika
519;9137;Историческая и военная литература;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/istoricheskaya-i-voennaya-literatura
519;9235;Философия;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/filosofiya
519;9148;Религия;https://www.wildberries.ru/catalog/knigi/nehudozhestvennaya-literatura/religiya
519;129277;Политика и право;https://www.wildberries.ru/catalog/knigi/politika-i-pravo
519;10555;Букинистика;https://www.wildberries.ru/catalog/knigi/bukinistika
519;128312;Книги на иностранных языках;https://www.wildberries.ru/catalog/knigi/inostrannye-knigi
519;130372;Плакаты;https://www.wildberries.ru/catalog/knigi/plakaty
519;130525;Календари;https://www.wildberries.ru/catalog/knigi/kalendari
519;62705;Коллекционные издания;https://www.wildberries.ru/catalog/knigi/kollektsionnye-izdaniya
519;129274;Репринтные издания;https://www.wildberries.ru/catalog/knigi/reprintnye-izdaniya
519;8051;Мультимедиа;https://www.wildberries.ru/catalog/knigi-i-diski/multimedia
519;7377;Аудиокниги;https://www.wildberries.ru/catalog/knigi/audioknigi
519;13;Цифровые книги;https://digital.wildberries.ru/catalog/books?sort=rating
519;14;Цифровые аудиокниги;https://digital.wildberries.ru/catalog/audiobooks?sort=rating
